Validation URL,Category,Target,Status,Redirect URL,Target Window,Details,Timestamp
https://uat-ng.nationwide.com/,Banner Quote,Homeowners,FAIL,,,"{""reason"":""No popup or navigation occurred after clicking the button"";""requiresZip"":true}",2026-07-01T23:50:28.156Z
https://uat-ng.nationwide.com/,Banner Quote,Renters,FAIL,,,"{""reason"":""No popup or navigation occurred after clicking the button"";""requiresZip"":true}",2026-07-01T23:51:11.616Z
https://uat-ng.nationwide.com/,Banner Quote,See all insurance,PASS,https://uat-ng.nationwide.com/personal/insurance,new-window,"{""optionValue"":""All"";""requiresZip"":false;""zipCode"":null;""outcome"":""popup"";""finalUrl"":""https://uat-ng.nationwide.com/personal/insurance"";""redirectUrl"":""https://uat-ng.nationwide.com/personal/insurance"";""bannerPresent"":false;""isSeeAllInsurance"":true;""navigationSuccess"":false;""buttonFoundBy"":""{\""role\"":\""button\"";\""options\"":{\""name\"":\""Start your quote\""}}"";""dropdownType"":""banner""}",2026-07-01T23:51:47.815Z
https://uat-ng.nationwide.com/,Promo Quote,Pay a personal bill,PASS,https://myservicing.nationwide.com/#/personal/quickpay/search,same-window,"{""optionValue"":""https://myservicing.nationwide.com/#/personal/quickpay/search"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://myservicing.nationwide.com/#/personal/quickpay/search"";""redirectUrl"":""https://myservicing.nationwide.com/#/personal/quickpay/search"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:52:08.332Z
https://uat-ng.nationwide.com/,Promo Quote,Pay a business bill,PASS,https://commercialservicing.nationwide.com/commercial/#/quickPay/search,same-window,"{""optionValue"":""https://commercialservicing.nationwide.com/commercial/#/quickPay/search"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://commercialservicing.nationwide.com/commercial/#/quickPay/search"";""redirectUrl"":""https://commercialservicing.nationwide.com/commercial/#/quickPay/search"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:52:37.993Z
https://uat-ng.nationwide.com/,Promo Quote,Get auto ID card,PASS,https://policyservicing.nationwide.com/#/qid/search,same-window,"{""optionValue"":""https://policyservicing.nationwide.com/#/qid/search"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://policyservicing.nationwide.com/#/qid/search"";""redirectUrl"":""https://policyservicing.nationwide.com/#/qid/search"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:52:58.408Z
https://uat-ng.nationwide.com/,Promo Quote,File a claim,PASS,https://www.nationwide.com/insurance-claims/,same-window,"{""optionValue"":""https://www.nationwide.com/insurance-claims/"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://www.nationwide.com/insurance-claims/"";""redirectUrl"":""https://www.nationwide.com/insurance-claims/"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:53:19.391Z
https://uat-ng.nationwide.com/,Promo Quote,Track a claim,PASS,https://claimsservicing.nationwide.com/claims/express-login,same-window,"{""optionValue"":""https://claimsselfservice.nationwide.com/claims/index.html#/express-login"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://claimsservicing.nationwide.com/claims/express-login"";""redirectUrl"":""https://claimsservicing.nationwide.com/claims/express-login"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:53:41.122Z
https://uat-ng.nationwide.com/,Promo Quote,Quote a new vehicle,PASS,https://policyservicing.nationwide.com/#/quick/login/add-vehicle,same-window,"{""optionValue"":""https://policyservicing.nationwide.com/#/quick/login/add-vehicle"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://policyservicing.nationwide.com/#/quick/login/add-vehicle"";""redirectUrl"":""https://policyservicing.nationwide.com/#/quick/login/add-vehicle"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:54:01.131Z
https://uat-ng.nationwide.com/,Promo Quote,Access your retirement plan,PASS,https://login.nationwide.com/access/web/login.htm,same-window,"{""optionValue"":""https://login.nationwide.com/access/web/login.htm"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://login.nationwide.com/access/web/login.htm"";""redirectUrl"":""https://login.nationwide.com/access/web/login.htm"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""direct-url-navigation"";""dropdownType"":""custom-tri-promo""}",2026-07-01T23:54:23.704Z
https://uat-ng.nationwide.com/personal/insurance/auto/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-01T23:54:54.293Z
https://uat-ng.nationwide.com/personal/insurance/auto/,Banner Quote,Auto insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""personalAuto"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-01T23:55:44.091Z
https://uat-ng.nationwide.com/personal/insurance/auto/,Banner Quote,Classic car insurance,PASS,https://getaquote.nationwide.com/quote/you/choose-products?state=&products=auto,new-window,"{""optionValue"":""classicCar"";""requiresZip"":false;""zipCode"":null;""outcome"":""popup"";""finalUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?state=&products=auto"";""redirectUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?state=&products=auto"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":false;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-01T23:56:23.222Z
https://uat-ng.nationwide.com/personal/insurance/auto/,Banner Quote,RV insurance,PASS,https://uat-ng.nationwide.com/personal/insurance/auto/,,"{""optionValue"":""rv"";""requiresZip"":false;""zipCode"":null;""outcome"":""no-action"";""finalUrl"":""https://uat-ng.nationwide.com/personal/insurance/auto/"";""redirectUrl"":""https://uat-ng.nationwide.com/personal/insurance/auto/"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""phone-number-only"";""dropdownType"":""banner""}",2026-07-01T23:56:43.083Z
https://uat-ng.nationwide.com/personal/insurance/auto/,Banner Quote,Auto & home bundle,PASS,https://getaquote.nationwide.com/quote/you/choose-products?state=&products=auto,new-window,"{""optionValue"":""personalAutoHomeBundle"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""popup"";""finalUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?state=&products=auto"";""redirectUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?state=&products=auto"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":false;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":false;""message"":""No error message; no navigation; and no popup occurred""}]}",2026-07-01T23:57:25.589Z
https://uat-ng.nationwide.com/personal/insurance/motorcycle/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-01T23:57:58.185Z
https://uat-ng.nationwide.com/personal/insurance/motorcycle/,Banner Quote,Motorcycle insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""motorcycle"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-01T23:58:50.223Z
https://uat-ng.nationwide.com/personal/insurance/motorcycle/,Banner Quote,ATV insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""atv"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-01T23:59:42.288Z
https://uat-ng.nationwide.com/personal/insurance/motorcycle/,Banner Quote,Scooter insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""scooter"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:00:31.162Z
https://uat-ng.nationwide.com/personal/insurance/motorcycle/,Banner Quote,Snowmobile insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""snowmobile"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:01:21.893Z
https://uat-ng.nationwide.com/personal/insurance/snowmobile/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-02T00:01:53.055Z
https://uat-ng.nationwide.com/personal/insurance/snowmobile/,Banner Quote,Snowmobile insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""snowmobile"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:02:39.013Z
https://uat-ng.nationwide.com/personal/insurance/snowmobile/,Banner Quote,ATV insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""atv"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:03:28.224Z
https://uat-ng.nationwide.com/personal/insurance/snowmobile/,Banner Quote,Motorcycle insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""motorcycle"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:04:16.430Z
https://uat-ng.nationwide.com/personal/insurance/snowmobile/,Banner Quote,Scooter insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""scooter"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:05:06.283Z
https://uat-ng.nationwide.com/personal/insurance/homeowners/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-02T00:05:36.916Z
https://uat-ng.nationwide.com/personal/insurance/homeowners/,Banner Quote,Homeowners insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""homeowners"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:06:23.885Z
https://uat-ng.nationwide.com/personal/insurance/homeowners/,Banner Quote,Renters insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""tenant"";""requiresZip"":true;""zipCode"":""54213"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:07:13.102Z
https://uat-ng.nationwide.com/personal/insurance/homeowners/,Banner Quote,Condo insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""condo"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:08:01.964Z
https://uat-ng.nationwide.com/personal/insurance/renters/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-02T00:08:32.136Z
https://uat-ng.nationwide.com/personal/insurance/renters/,Banner Quote,Renters insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""tenant"";""requiresZip"":true;""zipCode"":""54213"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:09:17.912Z
https://uat-ng.nationwide.com/personal/insurance/renters/,Banner Quote,Homeowners insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""homeowners"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:10:07.241Z
https://uat-ng.nationwide.com/personal/insurance/renters/,Banner Quote,Condo insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""condo"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:10:55.792Z
https://uat-ng.nationwide.com/personal/insurance/condo/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-02T00:11:26.699Z
https://uat-ng.nationwide.com/personal/insurance/condo/,Banner Quote,Condo insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""condo"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:12:12.634Z
https://uat-ng.nationwide.com/personal/insurance/condo/,Banner Quote,Homeowners insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""homeowners"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:13:02.065Z
https://uat-ng.nationwide.com/personal/insurance/condo/,Banner Quote,Renters insurance,PASS,https://getaquote.nationwide.com/retrieve,same-window,"{""optionValue"":""tenant"";""requiresZip"":true;""zipCode"":""54213"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/retrieve"";""redirectUrl"":""https://getaquote.nationwide.com/retrieve"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""a[href*=\""quote\""]"";""dropdownType"":""banner"";""negativeTests"":[{""scenario"":""no-zip"";""success"":true;""message"":""Navigation occurred without ZIP - redirect to quote page"";""navigatedTo"":""https://getaquote.nationwide.com/retrieve""}]}",2026-07-02T00:13:50.550Z
https://www.nationwide.com/personal/insurance/all-personal/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-02T00:14:20.976Z
https://www.nationwide.com/personal/insurance/all-personal/,Banner Quote,Homeowners insurance,PASS,https://getaquote.nationwide.com/quote/you/choose-products?products=homeowners&state=OH&zipCode=43215&utm_source=direct,same-window,"{""optionValue"":""HomeownersQuoteForm"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?products=homeowners&state=OH&zipCode=43215&utm_source=direct"";""redirectUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?products=homeowners&state=OH&zipCode=43215&utm_source=direct"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-02T00:14:57.723Z
https://www.nationwide.com/personal/insurance/all-personal/,Banner Quote,Renters insurance,PASS,https://getaquote.nationwide.com/quote/you/choose-products?products=tenant&state=WI&zipCode=54213&utm_source=direct,same-window,"{""optionValue"":""RentersQuoteForm"";""requiresZip"":true;""zipCode"":""54213"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?products=tenant&state=WI&zipCode=54213&utm_source=direct"";""redirectUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?products=tenant&state=WI&zipCode=54213&utm_source=direct"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-02T00:15:37.836Z
https://www.nationwide.com/personal/insurance/all-personal/,Banner Quote,Auto insurance,PASS,https://getaquote.nationwide.com/quote/you/choose-products?products=auto&state=OH&zipCode=43215&utm_source=direct,same-window,"{""optionValue"":""AutoQuoteForm"";""requiresZip"":true;""zipCode"":""43215"";""outcome"":""same-tab"";""finalUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?products=auto&state=OH&zipCode=43215&utm_source=direct"";""redirectUrl"":""https://getaquote.nationwide.com/quote/you/choose-products?products=auto&state=OH&zipCode=43215&utm_source=direct"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-02T00:16:17.865Z
https://www.nationwide.com/personal/insurance/all-personal/,Banner Quote,Life insurance,PASS,https://lifeessentials.nationwide.com/?_gl=1*kq9l2t*_gcl_au*MjA0Mzk4Mjk5OC4xNzgyOTUxMjM1*_ga*MTQyMTgzNDkwMy4xNzgyOTUxMjM1*_ga_GLJSQEPWL4*czE3ODI5NTEyMzQkbzEkZzEkdDE3ODI5NTEzNzkkajQzJGwwJGgw,same-window,"{""optionValue"":""LifeQuoteForm"";""requiresZip"":false;""zipCode"":null;""outcome"":""same-tab"";""finalUrl"":""https://lifeessentials.nationwide.com/?_gl=1*kq9l2t*_gcl_au*MjA0Mzk4Mjk5OC4xNzgyOTUxMjM1*_ga*MTQyMTgzNDkwMy4xNzgyOTUxMjM1*_ga_GLJSQEPWL4*czE3ODI5NTEyMzQkbzEkZzEkdDE3ODI5NTEzNzkkajQzJGwwJGgw"";""redirectUrl"":""https://lifeessentials.nationwide.com/?_gl=1*kq9l2t*_gcl_au*MjA0Mzk4Mjk5OC4xNzgyOTUxMjM1*_ga*MTQyMTgzNDkwMy4xNzgyOTUxMjM1*_ga_GLJSQEPWL4*czE3ODI5NTEyMzQkbzEkZzEkdDE3ODI5NTEzNzkkajQzJGwwJGgw"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":true;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-02T00:17:02.582Z
